vowel   group   mean   sd   sd/mean   N   min   max   measure
AA   PBc   269.417   32.726   0.121   12   218   350   F0
AA   PBc   1089.167   94.624   0.087   12   940   1230   F1
AA   PBc   1402.500   104.021   0.074   12   1230   1630   F2
AA   PBc   3175.000   465.862   0.147   12   2400   4250   F3
AA   PBm   124.553   18.983   0.152   38   91   170   F0
AA   PBm   738.842   51.098   0.069   38   640   860   F1
AA   PBm   1115.921   69.577   0.062   38   950   1280   F2
AA   PBm   2450.000   210.889   0.086   38   2020   2820   F3
AA   PBw   210.108   27.602   0.131   37   150   275   F0
AA   PBw   877.324   84.541   0.096   37   700   1009   F1
AA   PBw   1235.108   98.055   0.079   37   1060   1415   F2
AA   PBw   2749.514   219.955   0.080   37   2290   3180   F3
AE   PBc   251.407   25.877   0.103   27   200   310   F0
AE   PBc   1047.889   124.479   0.119   27   808   1300   F1
AE   PBc   2288.148   195.901   0.086   27   1950   2700   F2
AE   PBc   3342.963   347.085   0.104   27   2580   4000   F3
AE   PBm   124.982   16.611   0.133   56   93   180   F0
AE   PBm   677.000   50.061   0.074   56   590   830   F1
AE   PBm   1717.036   109.084   0.064   56   1470   1958   F2
AE   PBm   2404.232   125.950   0.052   56   2150   2700   F3
AE   PBw   207.250   24.034   0.116   44   150   280   F0
AE   PBw   901.136   93.171   0.103   44   740   1110   F1
AE   PBw   2024.023   133.782   0.066   44   1724   2250   F2
AE   PBw   2832.386   149.657   0.053   44   2530   3260   F3
AH   PBc   265.696   33.489   0.126   23   211   340   F0
AH   PBc   858.304   117.507   0.137   23   690   1130   F1
AH   PBc   1589.130   98.022   0.062   23   1410   1800   F2
AH   PBc   3302.609   294.437   0.089   23   2880   4040   F3
AH   PBm   127.324   16.735   0.131   37   96   160   F0
AH   PBm   634.135   34.808   0.055   37   550   726   F1
AH   PBm   1217.108   101.780   0.084   37   960   1393   F2
AH   PBm   2388.514   168.494   0.071   37   1950   2640   F3
AH   PBw   223.023   25.825   0.116   44   183   280   F0
AH   PBw   756.886   70.319   0.093   44   618   920   F1
AH   PBw   1418.477   120.167   0.085   44   1160   1688   F2
AH   PBw   2768.636   188.218   0.068   44   2380   3250   F3
AO   PBc   244.000   33.774   0.138   16   203   330   F0
AO   PBc   702.188   113.299   0.161   16   520   910   F1
AO   PBc   1074.375   144.082   0.134   16   850   1260   F2
AO   PBc   3230.625   349.695   0.108   16   2500   3850   F3
AO   PBm   123.682   16.335   0.132   44   92   171   F0
AO   PBm   543.386   49.245   0.091   44   430   650   F1
AO   PBm   789.682   102.811   0.130   44   560   1000   F2
AO   PBm   2384.545   207.652   0.087   44   1850   2820   F3
AO   PBw   218.750   25.230   0.115   48   160   293   F0
AO   PBw   583.646   84.765   0.145   48   380   720   F1
AO   PBw   906.042   126.943   0.140   48   590   1110   F2
AO   PBw   2735.292   241.658   0.088   48   2250   3300   F3
EH   PBc   261.688   28.382   0.108   16   212   308   F0
EH   PBc   684.312   91.340   0.133   16   565   850   F1
EH   PBc   2613.438   220.233   0.084   16   2275   2900   F2
EH   PBc   3448.750   181.177   0.053   16   3120   3680   F3
EH   PBm   127.629   19.672   0.154   35   95   180   F0
EH   PBm   535.143   44.450   0.083   35   445   640   F1
EH   PBm   1868.286   110.387   0.059   35   1650   2100   F2
EH   PBm   2498.429   126.339   0.051   35   2275   2780   F3
EH   PBw   219.071   20.149   0.092   42   173   260   F0
EH   PBw   607.167   76.124   0.125   42   460   760   F1
EH   PBw   2367.786   115.948   0.049   42   2100   2570   F2
EH   PBw   3016.238   149.549   0.050   42   2700   3300   F3
ER   PBc   263.172   35.756   0.136   29   200   328   F0
ER   PBc   569.276   97.273   0.171   29   430   805   F1
ER   PBc   1808.103   216.186   0.120   29   1500   2300   F2
ER   PBc   2184.828   334.927   0.153   29   1700   2900   F3
ER   PBm   133.046   17.164   0.129   65   100   177   F0
ER   PBm   489.108   57.142   0.117   65   360   600   F1
ER   PBm   1358.908   94.172   0.069   65   1130   1570   F2
ER   PBm   1706.400   132.457   0.078   65   1400   2100   F3
ER   PBw   219.815   22.626   0.103   54   180   286   F0
ER   PBw   503.704   63.285   0.126   54   360   652   F1
ER   PBw   1632.037   174.191   0.107   54   1200   2000   F2
ER   PBw   1969.389   223.290   0.113   54   1480   2480   F3
IH   PBc   277.059   35.051   0.127   17   212   325   F0
IH   PBc   534.412   80.988   0.152   17   380   680   F1
IH   PBc   2795.882   219.347   0.078   17   2480   3250   F2
IH   PBc   3528.235   287.516   0.081   17   3140   4380   F3
IH   PBm   136.019   21.091   0.155   52   100   203   F0
IH   PBm   386.462   50.489   0.131   52   206   490   F1
IH   PBm   1977.385   126.753   0.064   52   1710   2300   F2
IH   PBm   2564.712   128.259   0.050   52   2340   2805   F3
IH   PBw   233.489   27.786   0.119   45   167   297   F0
IH   PBw   437.378   48.540   0.111   45   319   534   F1
IH   PBw   2498.778   135.067   0.054   45   2220   2700   F2
IH   PBw   3082.444   126.992   0.041   45   2800   3400   F3
IY   PBc   269.567   36.064   0.134   30   200   344   F0
IY   PBc   360.200   69.587   0.193   30   275   590   F1
IY   PBc   3177.833   219.182   0.069   30   2730   3610   F2
IY   PBc   3763.000   248.986   0.066   30   3400   4320   F3
IY   PBm   136.477   18.886   0.138   65   105   186   F0
IY   PBm   267.277   36.894   0.138   65   190   350   F1
IY   PBm   2290.923   135.243   0.059   65   2000   2700   F2
IY   PBm   2933.385   183.510   0.063   65   2600   3400   F3
IY   PBw   231.830   27.058   0.117   53   170   286   F0
IY   PBw   307.792   46.362   0.151   53   220   406   F1
IY   PBw   2782.170   125.052   0.045   53   2360   3100   F2
IY   PBw   3316.226   241.557   0.073   53   2945   3900   F3
UH   PBc   275.222   37.864   0.138   27   212   350   F0
UH   PBc   553.889   68.167   0.123   27   450   730   F1
UH   PBc   1400.185   125.748   0.090   27   1140   1640   F2
UH   PBc   3312.222   302.240   0.091   27   2750   3950   F3
UH   PBm   134.714   20.455   0.152   56   104   196   F0
UH   PBm   440.107   41.263   0.094   56   320   550   F1
UH   PBm   1032.786   122.840   0.119   56   730   1286   F2
UH   PBm   2241.232   155.803   0.070   56   1860   2600   F3
UH   PBw   231.250   21.049   0.091   44   200   286   F0
UH   PBw   459.023   52.215   0.114   44   335   570   F1
UH   PBw   1141.841   152.222   0.133   44   860   1506   F2
UH   PBw   2673.750   195.103   0.073   44   2300   3190   F3
UW   PBc   276.964   37.200   0.134   28   200   345   F0
UW   PBc   423.964   84.967   0.200   28   300   620   F1
UW   PBc   1177.143   259.898   0.221   28   650   1700   F2
UW   PBc   3245.000   329.966   0.102   28   2800   3900   F3
UW   PBm   138.774   18.002   0.130   62   107   198   F0
UW   PBm   304.774   50.277   0.165   62   210   400   F1
UW   PBm   870.871   160.091   0.184   62   570   1320   F2
UW   PBm   2239.371   256.407   0.114   62   1850   3300   F3
UW   PBw   237.415   33.200   0.140   53   180   328   F0
UW   PBw   378.113   48.306   0.128   53   280   480   F1
UW   PBw   962.245   174.068   0.181   53   630   1430   F2
UW   PBw   2659.717   209.350   0.079   53   2260   3100   F3
