word	region	IPAs
aabomycin	US	[/ˌæb.oʊˈmaɪ.sɪn/]
aandblom	US	[/ˈɑnt.blɑm/]
aapa	US	[/ɑːpɑː/]
aardvark	US	[/ˈɑɹd.vɑɹk/]
aardwolves	US	[/ˈɑɹdˌwʊlvz/]
abaca	US	[/ˈæb.əˌkɑ/]
abacavir	US	[/əˈbæk.əˌvɪɹ/]
aback	US	[/əˈbæk/]
abaculus	US	[/əˈbæk.jə.ləs/]
abacuses	US	[/ˈæbə.kəsɪz/]
abaft	US	[/əˈbæft/]
abaiser	US	[/əˈbeɪ.sɚ/]
abampere	US	[/æˈbæmpɪɹ/]
abandon	US	[/əˈbæn.dən/]
abandoned	US	[/əˈbæn.dənd/]
abandonee	US	[/əˈbæn.dəˌni/]
abandoning	US	[/əˈbændənɪŋ/]
abandonment	US	[/əˈbæn.dn̩.mn̩t/]
abas	US	[/əˈbɑs/]
abasedly	US	[/əˈbeɪs.əd.li/]
abaser	US	[/əˈbeɪs.ɚ/]
abash	US	[/əˈbæʃ/]
abashment	US	[/əˈbæʃ.mənt/]
abatable	US	[/əˈbeɪt.ə.bəl/]
abatement	US	[/əˈbeɪt.mənt/]
abature	US	[/ˈæb.ə.tjʊɹ/]
abatvoix	US	[/ɑˌbɑvˈwɑ/]
abb	US	[/æb/]
abbacy	US	[/ˈæb.ə.si/]
abbot	US	[/ˈæb.ət/]
abbotship	US	[/ˈæ.bət.ʃɪp/]
abbreviate	US	[/əˈbɹi.vi.eɪt/]
abbreviated	US	[/əˈbɹi.viˌeɪ.tɪd/]
abbreviatory	US	[/əˈbɹi.vi.əˌtɔɹ.i/]
abdest	US	[/ˈɑb.dɛst/]
abdicable	US	[/ˈæb.də.kə.bəl/]
abdicant	US	[/ˈæb.dɪ.kn̩t/]
abdication	US	[/ˌæb.dəˈkeɪ.ʃən/]
abdominalia	US	[/ˌæb.dɑ.mɪˈneɪ.li.ə/]
abdominally	US	[/æbˈdɑm.ɪ.nə.li/]
abdominoscopy	US	[/æbˌdɑm.ɪnˈɑs.kə.pi/]
abearing	US	[/əˈbɛɹ.ɪŋ/]
aberr	US	[/əˈbɝ/]
aberration	US	[/ˌæb.əˈɹeɪ.ʃn̩/]
aberrationally	US	[-eɪʃənəli]
abetment	US	[/əˈbɛt.mənt/]
abevacuation	US	[/æb.iˌvæk.juˈeɪ.ʃn̩/]
abhorrency	US	[/əˈbɔɹɪnsi/]
abhorrer	US	[/æbˈhɔɹ.ɚ/]
abide	US	[/əˈbaɪd/]
abidingly	US	[/əˈbaɪ.dɪŋ.li/]
abietene	US	[/ˈæb.i.əˌtin/]
abietic	US	[/ˌæb.iˈɛt.ɪk/]
Abigail	US	[/ˈæb.ə.ɡeɪl/]
abiogenesis	US	[/ˌeɪˌbaioʊˈd͡ʒɛnəsɪs/]
abiogenetic	US	[/ˌeɪ.bai.oʊ.d͡ʒəˈnɛt.ɪk/]
abiogenist	US	[/ˌeɪ.baiˈɑ.d͡ʒɛ.nəst/]
abiogenous	US	[/æb.iˈɑd͡ʒ.ə.nəs/]
abirritant	US	[/æbˈɪɹ.ɪ.tn̩t/]
abirritate	US	[/æbˈɪɹ.ɪˌteɪt/]
abirritation	US	[/ˌæb.ɪɹ.ɪˈteɪ.ʃn̩/]
abirritative	US	[/ˌæb.ɪɹ.ɪˈteɪ.tɪv/]
abjectedness	US	[/ˌæbˈd͡ʒɛkt.əd.nəs/]
abjection	US	[/æbˈd͡ʒɛk.ʃn̩/]
abjectness	US	[/æbˈd͡ʒɛkt.nəs/]
abjugate	US	[/ˈæb.d͡ʒə.ɡeɪt/]
abjuration	US	[/ˌæb.d͡ʒəˈɹeɪ.ʃn̩/]
abjuratory	US	[/æbˈd͡ʒʊɹ.əˌtɔɹ.i/]
ablactation	US	[/ˌæb.lækˈteɪ.ʃn̩/]
ablative	US	[/ˈæb.lə.tɪv/]
ablatively	US	[/ˌæb.ləˈtaɪv.li/]
ablaze	US	[/əˈbleɪz/]
able	US	[/ˈeɪb(ə)l/]
ableist	US	[/ˈeɪ.bəl.ɪst/]
abluent	US	[/ˈæb.lu.ənt/]
ablution	US	[/əˈblu.ʃn̩/]
ablutionary	US	[/əˈblu.ʃəˌnɛ.ɹi/]
abnet	US	[/ˈæb.nət/]
abnormally	US	[/æbˈnɔɹ.mə.li/]
aboard	US	[/əˈbɔɹd/]
abode	US	[/əˈboʊd/, [ʔəˈboʊːd̥̚]]
aboding	US	[/əˈboʊ.dɪŋ/]
abolitionists	US	[/ˈæ.bə.lɪʃn̩.ɪsts/]
aboma	US	[/əˈboʊ.mə/]
abomasum	US	[/ˌæb.oʊˈmeɪ.səm/]
aboral	US	[/æbˈɔɹ.l̩/]
aborigine	US	[/ˌæb.əˈɹɪd͡ʒ.ɪ.ni/]
aborsement	US	[/əˈbɔː(ɹ)smənt/]
abort	US	[/əˈbɔɹt/]
abortion	US	[/əˈbɔɹ.ʃn̩/]
abortional	US	[/əˈbɔɹ.ʃn̩.l̩/]
abortively	US	[/əˈbɔɹ.tɪv.li/]
abortiveness	US	[/əˈbɔɹ.tɪv.nəs/]
abought	US	[/əˈbɔːt/]
abound	US	[/əˈbaʊnd/]
abounding	US	[/əˈbaʊn.dɪŋ/]
about	US	[/əˈbaʊt/]
above	US	[/əˈbʌv/]
abox	US	[/əˈbɑks/]
abradant	US	[/əˈbɹeɪd.n̩t/]
abranchial	US	[/eɪˈbɹæŋ.ki.l̩/]
abrasion	US	[/əˈbɹeɪ.ʒn̩/]
abraum	US	[/ˈɑˌpɹaʊm/]
abraxas	US	[/əˈbɹæk.səs/]
abreuvoir	US	[/əbɹuːˈvwɑː(ɹ)/]
abridge	US	[/əˈbɹɪd͡ʒ/]
abroad	US	[/əˈbɹɔd/]
abrogable	US	[/ˈæb.ɹə.ɡə.bl̩/]
abrogator	US	[/ˈæb.ɹəˌɡeɪ.tɚ/]
abscision	US	[/æbˈsɪ.ʒn̩/]
abscissa	US	[/æbˈsɪs.ə/]
absconce	US	[/ˌæbˈskɑns/]
absent	US	[/ˈæb.sn̩t/]
absenteeism	US	[/ˌæb.sənˈtiˌɪz.m̩/]
absently	US	[/ˈæb.sn̩t.li/]
absentness	US	[/ˈæb.sn̩t.nəs/]
absinthial	US	[/æbˈsɪnθiəl/]
absinthin	US	[/ˈæbˌsɪn.θɪn/]
absinthism	US	[/ˈæb.sənˌθɪz.m̩/]
absinthium	US	[/æbˈsɪn.θi.m̩/]
absis	US	[/ˈæb.sɪs/]
absoluteness	US	[/ˈæb.səˌlut.nəs/]
absolutist	US	[/ˈæb.səˌlu.tɪst/]
absolutistic	US	[/ˈæb.səˌluˌtɪs.tɪk/]
abstainer	US	[/æbˈsteɪ.nɚ/]
abstinence	US	[/ˈæb.stɪ.nəns/]
abstinency	US	[/ˈæb.stɪ.nən.si/]
abstractionism	US	[/æbˈstɹæk.ʃn̩ˌɪz.m̩/]
abstractively	US	[/æbˈstɹæk.tɪv.li/]
abundant	US	[/əˈbʌn.dənt/]
aburst	US	[/əˈbɝst/]
abusable	US	[/əˈbju.zə.bl̩/]
abuse	US	[/əˈbjus/]
abuses	US	[/əˈbjuːzɪz/]
abusively	US	[/əˈbju.sɪv.li/]
abyssal	US	[/əˈbɪs.l̩/]
acacia	US	[/əˈkeɪ.ʃə/]
academian	US	[/ˌæk.əˈdi.mi.n̩/]
academic	US	[/ˌækəˈdɛmɪk/]
academicals	US	[/ˌæk.əˈdɛm.ɪ.kl̩z/]
academicism	US	[/ˌæk.əˈdɛm.əˌsɪz.m̩/]
academies	US	[/əˈkædəmiz/]
academist	US	[/əˈkæd.ɪ.mɪst/]
acaleph	US	[/ˌæk.əˈlɜf/]
acalycinous	US	[/ˌeɪ.kəˈlɪs.n̩.əs/]
acanthophorous	US	[/ˌækənˈθɒfəɹəs/]
acanthopterygian	US	[/ˌæk.ænˌθɑp.təˈɹɪd͡ʒ.i.n̩/]
acapsular	US	[/ˌeɪˈkæp.sə.lɚ/]
acarbose	US	[/eɪˈkɑɹˌboʊs/]
acaroid	US	[/ˈæk.əˌɹɔɪd/]
acaulous	US	[/eɪˈkɔːləs/]
accend	US	[/ækˈsɛnd/]
acceptableness	US	[/ækˈsɛp.tə.bəl.nəs/]
acceptably	US	[/ækˈsɛp.tə.bli/]
acceptance	US	[/əkˈsɛp.təns/]
acceptant	US	[/ækˈsɛp.tənt/]
acceptive	US	[/ækˈsɛp.tɪv/]
access	US	[/ˈækˌsɛs/]
accessibly	US	[/ækˈsɛs.ə.bli/]
acciaccatura	US	[/əˌt͡ʃɑkəˈtʊɹə/]
accidentally	US	[/ˌæk.sɪˈdɛnt(ə)li/]
accidie	US	[/ˈæk.sə.di/]
accipiter	US	[/ækˈsɪp.ə.tɚ/]
acclimatation	US	[/æklɪˈmeɪʃən/]
acclimated	US	[/ˈæk.lɪm.eɪt.əd/]
acclimatization	US	[/əˌklaɪ.mə.təˈzeɪ.ʃən/]
accommodating	US	[/əˈkɒm.əˌdeɪ.tɪŋ/]
accompanying	US	[/əˈkʌm.p(ə.)ni.ɪŋ/]
accomplish	US	[/əˈkɑm.plɪʃ/]
accomplishable	US	[/əˈkɒm.plɪʃ.ə.bəl/]
accomplished	US	[/əˈkɑm.plɪʃt/]
accomplishment	US	[/əˈkɑm.plɪʃ.mənt/]
accomplishments	US	[/əˈkɑm.plɪʃ.mənts/]
accord	US	[/əˈkɔɹd/]
accordance	US	[/əˈkɔɹ.dəns/]
accordantly	US	[[əˈkʰɔɹɾɨ̞nʔɫi]]
according	US	[/əˈkɔɹ.dɪŋ/]
accordingly	US	[/əˈkɔɹ.dɪŋ.li/]
accordion	US	[/əˈkɔɹ.di.ən/]
account	US	[/əˈkaʊnt/]
accountable	US	[/əˈkaʊntəbl̩/]
accountableness	US	[/əˈkaʊn.tə.bəl.nəs/]
accountantship	US	[/əˈkaʊnt.əntˌʃɪp/]
accounted	US	[/əˈkaʊntɪd/]
accounts	US	[/əˈkaʊnts/]
accouplement	US	[/əˈkʌpəlmənt/]
accouri	US	[/əˈkuri/]
accredit	US	[/əˈkɹɛd.ɪt/]
accrescence	US	[/əˈkɹɛsəns/]
accretion	US	[/əˈkɹiʃən/]
accretive	US	[/əˈkɹi.tɪv/]
accriminate	US	[/əˈkɹɪmɪneɪt/]
accrue	US	[/əˈkɹu/]
accumulate	US	[/əˈkju.mjəˌleɪt/]
accumulated	US	[/əˈkjumjəleɪtɪd/]
accumulator	US	[/əˈkjum.jəˌleɪ.tɚ/]
accuracy	US	[/ˈæk.jɚ.ə.si/]
accurateness	US	[/ˈæk.jə.ɹət.nəs/]
accursed	US	[/əˈkɝ.sɪd/]
accusative	US	[/əˈkjuzətɪv/]
accusatively	US	[/əˈkjuːzətɪvlɪ/]
accusatorial	US	[/əˌkju.zəˈtɔɹ.i.əl/]
accuse	US	[/əˈkjuz/]
accused	US	[/əˈkjuzd/]
accuser	US	[/əˈkju.zɚ/]
accusing	US	[/əˈkjuːzɪŋ/]
accustom	US	[/əˈkʌs.təm/]
acephalan	US	[/eɪˈsɛ.fə.lən/]
acephalocystic	US	[/eɪˌsɛ.fə.loʊˈsɪ.stɪk/]
acerbic	US	[/əˈsɜ(ɹ)bɪk/]
acerbity	US	[/əˈsɝbɪti/, [əˈsɝbɪɾi]]
acervative	US	[/əˈsɝ.və.tɪv/]
acetable	US	[/ˈæ.sɪ.tə.bəl/]
acetable	US	[/ˈæ.sɪ.tə.bəl/]
acetabular	US	[/ˌæsɪˈtæbjəlɚ/]
acetal	US	[/ˈæsɪˌtæl/]
acetarious	US	[/ɑ.sɪˈtɛɚ.i.əs/]
acetate	US	[/ˈæsɪteɪ̯t/]
acetone	US	[/ˈæ.sə.toʊn/]
acetose	US	[/ˈæs.ɪ.toʊs/]
acetosity	US	[/ˈæsɛˌtɒsɪti/]
acetylcholine	US	[/əˌsitəlˈkoʊlin/]
acetylene	US	[/əˈsɛtəlˌin/]
Achean	US	[/əˈki.ən/]
achievements	US	[/əˈt͡ʃiːvmənts/]
achieving	US	[/əˈt͡ʃiːvɪŋ/]
achroous	US	[/eɪˈkɹoʊ.əs/]
acidification	US	[-eɪʃən]
ackers	US	[/ˈæ.kəɹz/]
acologic	US	[/ˌækəˈlɑdʒɪk/]
acolyte	US	[/ˈæ.kə.laɪt/]
aconite	US	[/ˈæ.kə.naɪt/]
acotyledon	US	[/ˈeɪ.kɔt.l̩.iːdˌn̩/]
acquaintance	US	[/ʌˈkweɪn.təns/]
acquiesce	US	[/ˌækwiˈɛs/]
acquiesce	US	[/ˌækwiˈɛs/]
acquiescence	US	[/ˌæk.wiːˈɛs.əns/]
acquihire	US	[/əkˈhaɪɚ/]
acquire	US	[/əˈkwaɪɚ/]
acquired	US	[/əˈkwaɪɹd/]
acquirer	US	[-aɪəɹə(ɹ)]
acquisitive	US	[/əˈkwɪzətɪv/]
acquitted	US	[/əˈkwɪtɪd/]
acre	US	[/ˈeɪ.kɚ/]
acrimony	US	[/ˈækɹɪmoʊni/]
acrocyanosis	US	[/ˌæ.kɹoʊˌsaɪ.əˈnoʊ.sɪs/]
acrophobia	US	[-əʊbiə]
acropolis	US	[/əˈkɹɒpəlɪs/]
acted	US	[/ˈæk.tɪd/]
acter	US	[/ˈæk.tɚ/]
actings	US	[/ˈæk.tɪŋz/]
actions	US	[/ˈæk.ʃənz/]
activate	US	[/ˈæktɪˌveɪt/]
actively	US	[/ˈæktɪvli/]
Acton	US	[/æktən/]
actor	US	[/ˈæk.tɚ/]
actuate	US	[/ˈækt͡ʃu.eɪt/]
acute	US	[/əˈkjut/]
acutely	US	[/əˈkjuːtli/]
AD	US	[/ˌeɪˈdi/]
adaptable	US	[/əˈdæptəbəl/]
adaptation	US	[/ˌædæpˈteɪʃən/]
adapted	US	[/əˈdæptɪd/]
adaptor	US	[-æptə(ɹ)]
addicted	US	[/əˈdɪktɪd/]
adding	US	[/ˈæ.dɪŋ/]
additional	US	[/əˈdɪʃənəl/]
additions	US	[/əˈdɪʃənz/]
adduce	US	[/əˈd(j)uːs/]
adepts	US	[/ˈæd.ɛpts/]
ADHD	US	[/ˌeɪ diː ˌeɪtʃ ˈdiː/]
adhesive	US	[/ædˈhi.sɪv/]
adiaphoron	US	[/ˌædiˈæfəɹən/]
adinity	US	[/əˈdɪnɪti/]
adipose	US	[/ˈæd.ɪ.poʊs/]
adjacency	US	[/əˈdʒeɪsənsi/]
adjacent	US	[/əˈd͡ʒeɪ.sənt/]
adjoining	US	[/ʌˈd͡ʒɔɪn.ɪŋ/]
adjourn	US	[/əˈd͡ʒɝn/]
adjuration	US	[-eɪʃən]
adjusting	US	[/əˈd͡ʒʌstɪŋ/]
adjutant	US	[/ˈæ.d͡ʒə.tənt/]
administer	US	[/ədˈmɪn.ɪ.stɚ/]
administrative	US	[/ədˈmɪn.əˌstɹeɪ.tɪv/, [ədˈmɪn.əˌstɹeɪ.ɾɪv]]
administrator	US	[/ədˈmɪnɪstɹeɪtɚ/]
admirably	US	[/ˈæd.mɪɹ.ə.bli/]
admirals	US	[/ˈædməɹəlz/]
admiralty	US	[/ˈæd.mɪ.ɹəl.ti/]
Admiralty	US	[/ˈæd.mɪ.ɹəl.ti/]
admire	US	[/ədˈmaɪɹ/]
admired	US	[/ədˈmaɪɹd/]
admirer	US	[/ædˈmaɪ.ɹɚ/]
admirers	US	[/ædˈmaɪ.ɚ.ɚz/]
admitted	US	[/ədˈmɪtɪd/]
admitting	US	[/ədˈmɪtɪŋ/]
adobe	US	[/əˈdoʊ.bi/]
adobo	US	[/əˈdoʊboʊ/]
adopt	US	[/əˈdɑpt/]
adopted	US	[/əˈdɑptɪd/]
adoptive	US	[/əˈdɒptɪv/]
adorable	US	[/əˈdoɹ.əˌbəl/]
adorably	US	[/əˈdɔɹəbli/]
adorbs	US	[/əˈdɔɹbz/]
adore	US	[/əˈdoɹ/]
adored	US	[/əˈdɔɹd/]
adorn	US	[/əˈdɔɹn/]
adorned	US	[/əˈdɔɹnd/]
adornment	US	[/əˈdɔːnm(ə)nt/]
Adriatic	US	[/ˌeɪ.dɹiˈæt.ɪk/]
adrip	US	[/əˈdɹɪp/]
adulation	US	[/ˌæd͡ʒəˈleɪʃən/]
adulteration	US	[-eɪʃən]
adulterer	US	[/əˈdʌltəɹɚ/]
adultery	US	[/əˈdʌltəɹi/]
advance	US	[/ədˈvæns/]
advanced	US	[/ədˈvænst/]
advancing	US	[/ədˈvænsɪŋ/]
advantage	US	[/ədˈvæn.(t)ɪd͡ʒ/]
advantages	US	[/ədˈvæn.tɪ.d͡ʒɪz/]
adventurer	US	[/ædˈvɛn.t͡ʃɚ.ɚ/]
adventurous	US	[/ædˈvɛn.t͡ʃɚ.əs/]
adverb	US	[/ˈæd.vɝb/]
advergame	US	[/ˈæd.vɚˌɡeim/]
adversary	US	[/ˈæd.vəɹ.sɛɹi/]
adversity	US	[/ædˈvɝ.sɪ.ti/]
advertiser	US	[/ˈædvɚˌtaɪzɚ/]
advice	US	[/ædˈvaɪs/]
advisability	US	[/ædˌvaɪz.əˈbɪl.ə.ti/]
adviser	US	[/ædˈvaɪ.zɚ/]
advocates	US	[/ˈæd.və.keɪts/]
aedile	US	[/ˈiːdaɪl/]
Aegean	US	[/iˈd͡ʒi.ən/]
aeration	US	[/ɛːˈɹeɪʃ(ə)n/]
aerobic	US	[/ɛəˈɹoʊ.bɪk/]
aerolite	US	[/ˈɛə.ɹə.laɪt/]
aeronautics	US	[/ˌɛɚ.oʊˈnɔ.tɪks/, [ˌɛɚ.oʊˈnɔ.ɾɪks]]
aeronomy	US	[-ɒnəmi]
aerospace	US	[/ˈæ.ɹoʊˌspeɪs/]
aesthete	US	[/ˈɛs.θiːt/]
aetiology	US	[/i.tiˈɑ.lə.d͡ʒi/]
afar	US	[/əˈfɑɹ/]
affable	US	[/ˈæf.ə.bəl/]
affairs	US	[/əˈfɛɹz/]
affected	US	[/əˈfɛktɪd/]
affecting	US	[/əˈfɛktɪŋ/]
affectionate	US	[/əˈfɛkʃənət/]
affections	US	[/əˈfɛkʃənz/]
affiliate	US	[/əˈfɪl.i.ət/]
affinage	US	[/ˌɑfɪˈnɑʒ/]
affirm	US	[/əˈfɝm/]
affirmative	US	[/əˈfɝməɾɪv/]
affliction	US	[/əˈflɪkʃən/]
affordable	US	[/əˈfɔɹ.də.bəl/]
afforded	US	[/əˈfɔɹdɪd/]
affray	US	[-eɪ]
affrays	US	[-eɪz]
afloat	US	[/əˈfloʊt/]
aflutter	US	[/əˈflʌt.ɚ/]
afore	US	[/əˈfoɹ/]
afresh	US	[/ʌˈfɹɛʃ/]
Afrikaner	US	[/ˌæfɹɪˈkɑːnɚ/]
aft	US	[/æft/]
after	US	[/ˈæftəɹ/]
afterbirth	US	[/ˈæf.tɚ.bɚθ/]
aftercare	US	[/ˈæf.təɹ.kɛɹ/]
afterings	US	[/ˈæf.təɹ.ɪŋz/]
aftermath	US	[/ˈæf.tɚˌmæθ/]
afternoon	US	[/ˌæf.tɚˈnun/]
afterthought	US	[/ˈæft.ɚ.θɔt/]
afterward	US	[/ˈæf.tɚ.wɚd/]
afterwards	US	[/ˈæf.tɚ.wɚdz/]
against	US	[/əˈɡɛnst/]
Agartala	US	[/əˈɡəɹtələ/]
agathokakological	US	[/əˌɡæθəʊˌkækəˈlɒdʒɪkəl/]
agbada	US	[/æɡˈbɑdə/]
aged	US	[/eɪdʒd/]
ageing	US	[-eɪdʒɪŋ]
agency	US	[/ˈeɪ.d͡ʒən.si/]
