Input_Case	Output_Case	OuterLen	InnerLen	C1	C2	Outer_Category_Vowel	Inner_Category_Vowel	Outer_Category_Present	Inner_Category_Present	Outer_Category_Words	Inner_Category_Words	JobLabel
RW_RW	All_Real	2	1	B	D	AE,IH	EH	AE,IH	EH	BAD,BID	BED	Job1_Inner_Category__AA_AH_UH
RW_RW	All_Real	2	1	B	G	AE,IH	EH	AE,IH	EH	BAG,BIG	BEG	Job1_Inner_Category__AA_AH_UH
RW_RW	All_Real	2	1	D	D	AE,IH	EH	AE,IH	EH	Dad,DID	DEAD	Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	B	N	AE,IH	EH	AE,IH		BAN,BIN		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	D	M	AE,IH	EH	AE,IH		DAMN,DIM		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	JH	M	AE,IH	EH	AE,IH		JAM,GYM		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	L	M	AE,IH	EH	AE,IH		LAMB,LIMB		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	L	NG	AE,IH	EH	AE,IH		LANG,LING		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	R	M	AE,IH	EH	AE,IH		RAM,RIM		Job1_Inner_Category__AA_AH_UH
RW_RW	All_Fake	2	0	D	D	EH,UW	UH	EH,UW		DEAD,DUDE		Job2_Inner_Category__AE_AH_UH
RW_RW	All_Fake	2	0	M	N	EH,UW	UH	EH,UW		MEN,Moon		Job2_Inner_Category__AE_AH_UH
RW_RW	All_Fake	2	0	R	D	EH,UW	UH	EH,UW		RED,RUDE		Job2_Inner_Category__AE_AH_UH
RW_FW	All_Real	1	1	B	L	AE,IH	EH	IH	EH	Bill	Bell	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	B	R	AE,IH	EH	IH	EH	BEER	BEAR	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	D	G	AE,IH	EH	IH	EH	DIG	deg	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	D	R	AE,IH	EH	IH	EH	DEER	DARE	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	DH	N	AE,IH	EH	AE	EH	THAN	THEN	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	L	D	AE,IH	EH	IH	EH	LID	LED	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	M	N	AE,IH	EH	AE	EH	MAN	MEN	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	R	D	AE,IH	EH	IH	EH	RID	RED	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	R	R	AE,IH	EH	IH	EH	REAR	RARE	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	W	L	AE,IH	EH	IH	EH	Will	WELLE	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	W	N	AE,IH	EH	IH	EH	WIN	WHEN	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	W	R	AE,IH	EH	IH	EH	WERE	WHERE	Job1_Inner_Category__AA_AH_UH
RW_FW	All_Real	1	1	B	L	EH,UW	UH	EH	UH	Bell	BULL	Job2_Inner_Category__AE_AH_UH
RW_FW	All_Real	1	1	W	D	EH,UW	UH	EH	UH	WED	Wood	Job2_Inner_Category__AE_AH_UH
RW_FW	All_Real	1	1	W	L	EH,UW	UH	EH	UH	WELLE	Wool	Job2_Inner_Category__AE_AH_UH
RW_FW	All_Fake	1	0	B	B	AE,IH	EH	AE		BAB		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	B	JH	AE,IH	EH	AE		BADGE		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	B	NG	AE,IH	EH	AE		BANG		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	D	Z	AE,IH	EH	IH		DOES		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	G	D	AE,IH	EH	IH		GOOD		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	G	G	AE,IH	EH	IH		GIG		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	G	NG	AE,IH	EH	AE		GANG		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	G	R	AE,IH	EH	IH		GEAR		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	G	V	AE,IH	EH	IH		GIVE		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	JH	Z	AE,IH	EH	AE		JAZZ		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	L	B	AE,IH	EH	AE		LAB		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	L	N	AE,IH	EH	AE		Lan		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	L	V	AE,IH	EH	IH		LIVE		Job1_Inner_Category__AA_AH_UH
RW_FW	All_Fake	1	0	M	D	AE,IH	EH	AE		MAD		Job1_Inner_Category__AA_AH_UH
